id	created_at	hashtags	cleaned_text
1093177791544246272	2019-02-06	['#brownsfash', '#josephfash', '#resort19']	lin wrap body @joseph_fashion lik
1092362232107806720	2019-02-04	['#brownsfash', '#valentinesday', '#lov']	min pls bag chang everyth
1092045156117819392	2019-02-03	['#brownsfash', '#vet']	wait next day delivery lik new vet
1091652624422719490	2019-02-02	['#moncler1952', '#brownsfash']	collect drop @moncler stil enough
1091381098192482304	2019-02-01	['#brownsfash', '#valentino']	look back arch lov let @maisonvalentino
1090671251897622535	2019-01-30	['#manoloblahnik', '#brownsfash']	pench cryst satin @manoloblahnik's everyth shop
1090172794292371456	2019-01-29	['#brownsfash', '#ienkiienk', '#coat']	extr pad act want around waist c ienk ienk
1089826678749179905	2019-01-28	['#brownsfash', '#eyty', '#footwear']	step new week @eytys it'll best week yet trust
1089523561952432129	2019-01-27	['#brownsfash', '#materiel', '#womenswear']	liv mat world mat girl way
1089125813147090944	2019-01-26	['#brownsfash', '#adida', '#pharrel', '#collab']	drop ded chines new year @adidasuk @pharrell inject littl ambit lif
1088738407164112896	2019-01-25	['#brownsfash', '#midnight00', '#sho', '#newbrand']	eat midnight 00 drop effortless fab
1088491891920916487	2019-01-24	['#brownsfash', '#nik', '#airmax']	drop @nike isp air max 270 liv colo limit numb
1088451230966308864	2019-01-24	[]	short short happy part @fantasticman new book men wear cool mus
1088073468984344576	2019-01-23	['#brownsfash', '#rosantic', '#jewellery']	on nev many access agree @rosanticamilano
1088069575051300864	2019-01-23	['#brownsfash', '#nik', '#sneak', '#martineros', '#collab']	strange beauty object middl sneak @nike @martine_rose collab avail onlin brown east limit numb
1087326919048216577	2019-01-21	['#rafsimon', '#jopvanbennekom', '#stefanopilat', '#hollirog', '#pfw', '#brownsfash']	brown @fantasticman celebr launch 'what men wear why' par clos friend spec guest @martine_rose @imranamed @gertjonkers @032c_workshop @markymarcmode
1087309904963166208	2019-01-21	[]	
1087135963388760065	2019-01-20	[]	week we'v beelin rail @brownsfashion's east london hub scop must piec
1087135905549303809	2019-01-20	[]	i'm going brown breathpod immers brea &amp; sound expery see via @ev
1087135824334991360	2019-01-20	[]	proud pres men wear antholog men dress fantast man mad kind support @
1086201700434829314	2019-01-18	['#tgif', '#brownsfash']	win tim ready alway @oritelhanati
1085970407042306048	2019-01-17	['#brownsfash', '#monc']	drop @moncler bubbl sneak
1085840475322494976	2019-01-17	['#brownsfash', '#bag']	new bag covet new season bag set redefin wardrob
1085476976184446976	2019-01-16	['#goldsign', '#brownsfash', '#denim']	work rest play best mult denim piec brought
1085257865756069893	2019-01-15	['#brownsfash', '#book']	ess read on lit fan
