id	created_at	hashtags	cleaned_text
1093202285549809664	2019-02-06	['#nyfwm']	@bode @cfda
1093198834489008128	2019-02-06	['#nyfwm']	@bode @cfda
1093113182275727360	2019-02-06	[]	view look landlord fal 2019 collect
1092960469013286912	2019-02-06	['#thebluejacket']	walk fash show thursday night rais aw prost cant extraordin @josephabboud styl head toe
1092957007986872320	2019-02-06	['#thebluejacket']	walk fash show thursday night rais aw prost cant extraordin @josephabboud styl head toe
1092827887445700608	2019-02-05	['#nyfwm']	feel lik cinderell bal said off ambassad @theebillyporter look part sesso gow
1092827822283018242	2019-02-05	[]	ye @cfda
1092607270725271552	2019-02-05	['#nyfwm']	joseph abboud text play gav rich dimend fal 2019 collect @brianvu
1092607246243192832	2019-02-05	['#nyfwm']	walk first show lib expery said broadway star isaac col powel first @palomospain
1092607173128044545	2019-02-05	['#nyfwm', '#cfdanyfw']	car mal fem want susan bartsch @palomospain collect
1092507268250251266	2019-02-04	['#nyfwm']	@palomospain @cfda
1092492427645079552	2019-02-04	['#nyfwm']	backst @bartschland @theebillyporter @thesmithsociety @palomospain @cfda
1092404921452908549	2019-02-04	[]	tv l bar switch am dad rerun without complaint
1092404631723016192	2019-02-04	['#blackfashionforc']	day hon @virgilabloh dj mus produc architect first black design @louisvuitton
1092404613326782464	2019-02-04	[]	day hon @juneambrose cre direct costum design styl pion bring cout edg hip
1092237076110761984	2019-02-04	[]	lik watch constip
1092231897730695171	2019-02-04	[]	ur wish
1092230898597150720	2019-02-04	['#superbowllii']	tom brady wor tom ford mak car- strut lik bouquet tom
1092230794964361216	2019-02-04	['#superbowl', '#michaelk']	first fash credit night glady knight wor sing star spangl ban htt
1092202814460301315	2019-02-03	[]	new jersey pass law requir schools teach lgbtq hist
1092202103022514176	2019-02-03	['#superbowl2019']	stil sur play want mak
1092144043730059264	2019-02-03	[]	gold girl rerun
1091450949275738113	2019-02-01	[]	28 black fash forc michel obam @cfda
1091328325337911296	2019-02-01	[]	bil port new york fash week men ambassad wwd @cfda
1091322588394151936	2019-02-01	[]	@cfda off ambassad nyfw men
1091070399830470657	2019-01-31	[]	snow xue gao bring eastern cult west nyfw
1091047851638046720	2019-01-31	[]	kentucky clerk kim dav ask pay $225 leg fee gay coupl deny marry lic
1091047694745980928	2019-01-31	[]	lindsey graham off host osc condit chang neckty pocket squ 12 tim ref
1091046604793176064	2019-01-31	[]	phluid project ap nyfw design includ wwd
1091045906525360134	2019-01-31	[]	rel nyfw hist supermodel &amp; first runway mom
1090796467458068482	2019-01-31	[]	presid ceo @stevenkolb join fash brooklyn's prospect height discuss car fash ind
1090727699709153281	2019-01-30	[]	@cfda convers immigr vis hold hir skil work &amp; new policy
1090727499200380929	2019-01-30	[]	lukhanyo mding bring sou afr styl nyfw @cfda
1090631449324257280	2019-01-30	[]	brand urg hir min new york fash week via @pagesix
1090596514118938624	2019-01-30	[]	@projectrunway partn on prestigy org fash @cfda on ment includ tool connect cre grow sustain busy fash
1090441209406017536	2019-01-30	[]	vicy rac homophob attack jussy smollet deeply horr symptom trump's americ w
1090222458098073600	2019-01-29	[]	host cle cloth campaign also valu sustain cor
1090222436757450753	2019-01-29	[]	los angel label sesso serv fash divers new york runway febru design pier
1089888787612819456	2019-01-28	[]	divers &amp; includ new york fash week let cfda ceo stev kolb
1089876647497613312	2019-01-28	[]	thank gary
1089177388087459841	2019-01-26	[]	saturday morn lindsey graham stay nightshirt cucumb slic ey sip gin earl
1088399536916234240	2019-01-24	[]	start petit democr let @iamcardib giv rebut sotu sign retweet
1087519415346913280	2019-01-22	[]	kid on flav dorito on kind moon
1087373850386546689	2019-01-21	['#repost', '#mlkday']	@cfda tim alway right right cfda hon martin luth king jr inspir us forg path ahead divers equit includ fash industry graph @faithkaufman
