id	created_at	hashtags	cleaned_text
1065930413653352448	2018-11-23	[]	join us @qvcuk 6pm today air lov set includ nutcrack min pack &amp; daisy fav duo
1054299497981976576	2018-10-22	[]	join us @qvcuk 12pm today launch brand new set peru nutcrack christmas collect
956917409520259072	2018-01-26	['#newlaunch', '#nail', '#opilisbon']	@opinailsuk comin'atcha brand transform get ready collect com
950730636775444480	2018-01-09	[]	keep fing look red hot cold weath think @opinailsuk class shad big red appl nev
950730524255023104	2018-01-09	['#manimonday', '#blowltd']	fresh slick op 'don't boss nov around' mark @opinailsuk
928581460503785472	2017-11-09	[]	@qvcuk @opinailsuk got @opinailsuk red man cas launch exclud @qvcuk 12pm show
928581444137553920	2017-11-09	[]	going liv @qvcuk @opinailsuk today 12pm 6pm tun
926494505607614464	2017-11-03	[]	exclud partn @blowltd weekend receiv 15% us cod opinail
893773586955198464	2017-08-05	['#sweetcarmelsunday']	shimmery saturday mak shiny sunday
893441391057088512	2017-08-04	[]	someth weekend we'r lov purpl shad weekend stock
889122938116558848	2017-07-23	[]	nee sunday nail art find latest tut blog
888745449015955457	2017-07-22	['#fest']	brav rain today mak sur nail point brav &amp; go bright
888322662468071424	2017-07-21	['#opifij']	stil lov collect shad bring littl bit sunshin day shop
886178529829957632	2017-07-15	[]	we'r look forward next week 21st annivers show @qvcuk tun launch brand new man cas
884411893942820864	2017-07-10	['#manicuremonday']	palm us shop collect
884034404766691330	2017-07-09	[]	infinit shin origin formul pref let us know
883596520746078209	2017-07-08	[]	surf's collect
883264330380304385	2017-07-07	[]	friday sip fav glass vino paint nail shad straight nap valley
882917042764095488	2017-07-06	[]	ton comply tan skin perfect mak gre shad sum day get
882539557132136450	2017-07-05	['#infiniteshin']	120 infinit shin colo com soon what favourit shad
882146969891811329	2017-07-04	[]	happy 4th july am blog step step cre patriot look
881799679675158531	2017-07-03	['#manicuremonday']	think collect perfect long sum day get
881467489766563840	2017-07-02	[]	new kind tan lin learn cre nail art lik tut pag blog
881044706699878402	2017-07-01	['#tothemousehousewego']	kind girl tak pick
880727615526621184	2017-06-30	['#infiniteshin']	prettiest sum shad &amp; hi shin last 11 day try rang
880380326333337600	2017-06-29	['#bridalman']	look perfect neut look think perfect big day
880078343714033664	2017-06-28	['#opiprosp']	produc keep skin look youth protect fre rad col peptid nat ingredy
879746155592208384	2017-06-27	[]	expl win country hot pink
876076980206280705	2017-06-17	['#infiniteshin', '#tothemousehousewego']	giv long wear gel shin try newest formul minny shad
875790091796578306	2017-06-16	[]	op uk mid sal shop 50% &gt;&gt;&gt;
875759883932626944	2017-06-16	['#prosp']	join us last min sery 6pm tonight @qvcuk plu
875397490408923138	2017-06-15	[]	join us @qvcuk 6pm californ dream &amp; prosp plu last chant buy avoplex rang
874567018258857984	2017-06-13	[]	join us @qvcuk 6pm wed thur &amp; fri op jun min sery launch collect
874189536083013632	2017-06-12	['#feelingfrisco']	sum perfect season light shad neut wear right shar us shad shown
873872463070994432	2017-06-11	['#opiprosp']	fal lov cupu but brazil superfruit fre fight ant
873540257194676225	2017-06-10	['#feelingfrisco', '#excusemebigs', '#sweetcarmelsunday']	perfect sum palet
873253367438610432	2017-06-09	['#sweetcarmelsunday']	friday feel shin weekend glist gold
872890986124521472	2017-06-08	[]	sip pretty
872453097930489857	2017-06-07	['#gpsiloveyou']	crus ruis sant monic stat hot pink
871275331767992320	2017-06-04	['#opiprosp']	man expery noth short perfect includ 14 effect produc us best ingredy
871003548594700289	2017-06-03	['#feelingfrisco']	sum perfect season light shad neut wear right lov
870641160561340416	2017-06-02	['#timeforanap']	sip favorit glass vino pretty pink
870595862329778176	2017-06-02	[]	lean back relax friday get look collect
870233467153522688	2017-06-01	['#opiobsess']	today tot excus buy new nail lacqu
870218368460238848	2017-06-01	['#feelingfrisco', '#opiobsess', '#californiadream']	perfect sum nud put play mood
870203302570598400	2017-06-01	['#opiobsess']	celebr @opinailsuk new collect
869961674584985601	2017-05-31	['#opiprosp']	op pro's upgrad man new collect cre luxury cli
869916383290818562	2017-05-31	['#opiprosp']	includ 14 effect produc us best ingredy man that noth short perfect
869236907552772096	2017-05-29	['#manimonday', '#opiobsess']	forget 20% everyth end tonight midnight shop &gt;&gt;&gt;
868859421337767936	2017-05-28	['#bankholidayweekend', '#opinailsuk']	whatev mak sur perfect pol tip
868391329193132032	2017-05-27	['#bankholidayweekend', '#opiobsess']	mak off get 20% everyth monday
868119540496035844	2017-05-26	['#opifij']	grab bikin head beach perfect way enjoy glory weath shad shown
868074241954074625	2017-05-26	['#opiobsess']	we'r collect giv us perfect sum palet
867032371480145921	2017-05-23	['#tsv']	join us second hour long show qvc feat select shad favourit op destin
867017277312520193	2017-05-23	['#tsv']	set com two opt avail today @qvcuk join @daisie_smith air 4pm
866775678552870916	2017-05-22	[]	join @daisie_smith air midnight first hour long tsv show miss unb sav 105 join us @qvcuk
866685084417634304	2017-05-22	['#maytsv']	set bring favourit exot op destin stun set perfect sum tun midnight
866684275005018114	2017-05-22	[]	jet nail colo @opinailsuk shop tuesday's off ear &gt;
866594485152698368	2017-05-22	['#maytsv']	@qvcuk midnight introduc prosp rang two beauty set perfect sum
866262300763750400	2017-05-21	[]	gorg trio shad sum day get
866217001357910016	2017-05-21	['#tsv']	join @daisie_smith &amp; @elisha_opi tuesday 23rd 1st 2017 excit new set choos unb valu
865839515528835073	2017-05-20	['#californiadream', '#infiniteshin']	we'r long last high shin formul ask salon buy
865582825600409601	2017-05-19	['#opiprosp']	produc keep skin look youth &amp; protect fre rad col peptid sooth lavend &amp; whit tea
865462025895280640	2017-05-19	[]	check op tsv preview video mak sur tun @qvcuk tuesday 23rd may
865280843652247552	2017-05-18	['#timeforanap']	expl win country blush pink
865190235289911298	2017-05-18	['#maytsv']	@opinailsuk team gear @qvcuk mak sur tun 23rd may detail follow
864737253440049152	2017-05-17	['#opiprosp']	oil contain avocado lipid complex nour hydr skin try today
864540958012178437	2017-05-16	['#opipro', '#opiprosp']	cal standout new produc lik cli going lov
864525861298614272	2017-05-16	[]	@shavatabrows celebr year annivers week join @opinailsuk team chiswick stor 20% week
863785983652884481	2017-05-14	['#sweetcarmelsunday']	lik spend sunday beauty bronz
863287702304825344	2017-05-13	['#opiprosp']	avocado everyth ev hand feet find gem lin giv deep hydr
862955514388504576	2017-05-12	['#opiprosp']	pretty ingredy act work find new skinc lin
862713920037040129	2017-05-11	['#infiniteshin']	lacqu girl cho shad avail formula
862351538920050691	2017-05-10	['#malibupierpress']	blu ski pink man head
862343583868870657	2017-05-10	['#prosp', '#man', '#ped']	new @opinailsuk com soon idyl inspir fac skin car perfect hand feet
861536166729986048	2017-05-08	['#memyselfieand', '#manimonday']	sunset malibu pier mean rid carn gam &amp; bright red man
861234169573244929	2017-05-07	['#sundaydream']	inspir coastlin collect palet fun shad id next holiday
861158680603045888	2017-05-07	['#opiprosp']	35 year known us colo auth op also known skinc auth
860826490291851266	2017-05-06	['#excusemebigs']	calm neut pinky nud deserv nam bit
860569792826277888	2017-05-05	['#opiprosp']	expery luxury bring qual &amp; eff fac skinc hand feet
