id	created_at	hashtags	cleaned_text
1093404116800425984	2019-02-07	['#dominiksadoch', '#davidbowy', '#reserv', '#ss19']	don inspir styl hero collect
1093373937961062400	2019-02-07	[]	fashionisto exclud scot moat 'worst bae
1093343737831452672	2019-02-07	[]	wang hong yu sport coat men's uno taiw
1093313579003056129	2019-02-07	[]	xavy buestel maxim frenel &amp; djav mandoul mix print esquir esp
1093283380177920000	2019-02-06	['#chrishemsworth']	cov men's heal talk body &amp; ag @chrishemsworth
1093222951724482560	2019-02-06	['#adriangreny']	hit beach al discuss sustain @adriangrenier
1093207837021560833	2019-02-06	['#riverviiper', '#jessicagoicoeche', '#refresh', '#ss19']	&amp; girlfriend front sho spring '19 campaign @riverviiperi
1093192793986617349	2019-02-06	['#davidtrulik']	&amp; zhang wenhu tackl bold col gq jap
1093177650506551307	2019-02-06	['#harrod', '#ss19']	gild lif jeenu mahadev &amp; kaj valciuka @harrods
1093162551934963712	2019-02-06	['#trussard', '#tonheukel', '#ss19']	tap spring '19 campaign
1093147432257499137	2019-02-06	['#mango', '#ss19']	introduc new lin perform suit @mango @mango_man
1093132351419412482	2019-02-06	['#johanneshuebl', '#oliviapalermo']	&amp; shar lov &amp; styl cla
1093102139772227584	2019-02-06	['#ss19']	ol lacey &amp; lew jamison step sharp numb giev &amp; hawk spring '19 campaign @gieveslondon
1093071933443317760	2019-02-06	[]	josh knight &amp; willow hand 'n' look el portug
1093041738455965696	2019-02-06	['#goncaloteixeir', '#carmel', '#ss19']	travel marrakech sho spring '19 campaign
1093011548329644032	2019-02-06	['#josephabboud', '#fw19']	del old world flair fal '19 collect @josephabboud
1092981342726483968	2019-02-06	['#toddsnyd', '#fw19']	embrac nostalg styl fal '19 collect @toddsnyderny
1092954933014478849	2019-02-06	['#jarrodscot', '#patrickbatem']	channel gq austral
1092920945663229952	2019-02-05	['#alessiopozz']	tak ven styl attitud
1092860583177797632	2019-02-05	['#salomondiaz']	rock new h&amp;m denim styl @hm
1092845497499320320	2019-02-05	['#jonasglo', '#presleygerb', '#hugo', '#ss19']	embrac berlin stat mind spring '19 campaign @hugoboss
1092830406645288961	2019-02-05	['#tyogunkoy', '#topm', '#ss19']	etien robert trendy styl spring '19 campaign @topman
1092815263161044993	2019-02-05	['#zzegn', '#ss19']	alexand sasch zverev front wash&amp;go spring '19 campaign @zegna
1092800203311276035	2019-02-05	['#clos', '#ss19']	guillaum mac embrac summertim vib spring '19 campaign
1092785067917803520	2019-02-05	[]	david yang glam vog chin beauty story
1092770013835087877	2019-02-05	['#gucc', '#ss19']	goe old hollywood spring '19 campaign @gucci
1092739750019108864	2019-02-05	['#paulboch', '#the', '#ss19']	don minim styl spring '19 campaign
1092709605044617216	2019-02-05	['#rogerf', '#uniqlo']	connect sport new ezy jean @uniqlousa @rogerfederer
1092683176852496384	2019-02-05	['#mxparis', '#fw19']	envid 'night dream' fal '19 collect
1092649160300548096	2019-02-05	[]	marlon blu sport modern ottomond look period magazin
1092626441437618177	2019-02-05	['#conradbromfield', '#arthurkulkov', '#macy', '#ss19']	sport pastel spring styl @macys
1092592486252511233	2019-02-05	['#lennykravitz', '#tum']	join daught zo a3 collect campaign @tumitravel @lennykravitz
1092558552139526144	2019-02-04	['#benbow', '#xti', '#ss19']	red touch front spring '19 campaign
1092498167927631877	2019-02-04	[]	maikl mihelson ste mir tim vog kore
1092483074670186502	2019-02-04	['#versac', '#ss19']	del fun fash &amp; bold attitud spring '19 campaign @versace
1092468012697960448	2019-02-04	['#apropo', '#ss19']	market edoardo sebastianell don spring look journ
1092452864956555265	2019-02-04	['#saintla']	chun soot yacin keit &amp; magn stergaard esquir singap @ysl
1092437794318888960	2019-02-04	['#antoninorusso', '#benbow', '#yoox']	&amp; model febru styl inspir @yoox
1092422700230955013	2019-02-04	['#fend', '#ss19']	kohe takabatak &amp; eduard kra sport dark styl spring '19 campaign @fendi
1092407619648667648	2019-02-04	['#sebastianst']	urb cowboy esquir esp
1092384908004261890	2019-02-04	[]	fashionisto exclud alejandro ravv &amp; om fal 'blues dark'
1092350880370831360	2019-02-04	['#driesvannot', '#ss19']	leon dam max barczak gq germany
1092316938729070592	2019-02-04	['#louisvuitton']	afgansyah 'afgan' rez tak tokyo da man @louisvuitton @afgansyah_reza
1092286789904187394	2019-02-04	['#weekinreview', '#versac', '#danielangulo', '#garrettneff']	at
1092075393497161729	2019-02-03	['#jonkortajaren']	rock denim gq esp cov story @jonkortajarena
1092060278341230592	2019-02-03	['#holtrenfrew', '#ss19']	fly col brody scot don spring fit @holtrenfrew
1092045180012843014	2019-02-03	[]	denim jacket new season @eastdane
1092015046622879745	2019-02-03	['#rockyharwood', '#bottegavenet', '#ss19']	front spring '19 campaign @bottegaveneta
1091984782857326592	2019-02-03	['#felixgesnouin']	cent at l'officiel hom esp
1091954568492187648	2019-02-03	['#johnvarvato', '#garyclarkjr', '#ss19']	travel texa spring '19 campaign @johnvarvatos
1091924415300931584	2019-02-03	['#timobauman', '#donl', '#michaelk', '#ss19']	charm michael spring '19 campaign @michaelkors
1091894175765880833	2019-02-03	[]	fashionisto exclud brad benset 'bold &amp; bright'
1091867727919280129	2019-02-03	['#adriensah', '#sergerigvav', '#thekoopl', '#ss19']	&amp; tap cal styl @the_kooples
1091833818120630273	2019-02-02	['#diesel']	denim &amp; moto styl collid pre '19 collect @diesel
1091773399939059714	2019-02-02	[]	jo knor &amp; alex chaparro go sporty dolc &amp; gabban gq @dolcegabbana
1091758461812133888	2019-02-02	['#timschuhmach', '#alphad', '#finnlaydav', '#boss', '#ss19']	&amp; star ser spring '19 campaign @hugoboss
1091743176497549312	2019-02-02	['#clementchabernaud', '#sachambay', '#ss19']	spring '19 suit h&amp;m @hm
1091728087820259329	2019-02-02	['#garrettneff']	hit beach gq germany
1091712997481951232	2019-02-02	[]	fashionisto exclud daniel angulo rock project new york denim
1091697892132352000	2019-02-02	['#versac', '#ss19']	at goe glam spring '19 collect @versace
1091682792692436992	2019-02-02	['#bal', '#ss19']	embrac californ vib spring '19 campaign @bally
1091652577127731200	2019-02-02	['#anthonybow']	cov gay tim discuss com
1091622379862872064	2019-02-02	['#giacomocavall', '#liujouomo', '#ss19']	return spring '19 campaign
1091592259118747648	2019-02-02	['#jilsand', '#fw19']	expl modern tail fal '19 collect
1091562127792504832	2019-02-02	['#balmain', '#fw19']	goe dark dram fal '19 collect @balmain
1091531886265057283	2019-02-02	['#paulsmi', '#fw19']	strikes rebel chord fal '19 collect @paulsmithdesign
1091505402863341568	2019-02-02	['#krisvanassch', '#berlut', '#fw19']	celebr craftsm fal '19 collect
1091471547892727808	2019-02-01	['#aspes', '#fw19']	embrac 'subtle experimentation' fal '19 collect
1091411175634550785	2019-02-01	['#fw19']	herm play leath &amp; tail fal '19 collect @hermes_paris
1091395934733455367	2019-02-01	['#kitbutl', '#toddsnyd', '#champ']	embrac bright col look @toddsnyderny @championusa
1091380839018086400	2019-02-01	['#franciscohenr']	sport outdo styl span gq
1091365721840467968	2019-02-01	['#jbalvin', '#guess', '#ss19']	head miam spring '19 campaign @jbalvin @guess
1091350646324903941	2019-02-01	['#haoyunxiang']	relax morn mov gq chin @arnaldoanaya
1091335521882857472	2019-02-01	['#dominiksadoch', '#davidbowy', '#reserv', '#ss19']	don inspir styl hero collect
1091320487630856193	2019-02-01	[]	fashionisto exclud scot moat 'worst bae
1091290206878294016	2019-02-01	[]	wang hong yu sport coat men's uno taiw
1091260014919143424	2019-02-01	[]	xavy buestel maxim frenel &amp; djav mandoul mix print esquir esp
1091229898629361664	2019-02-01	['#yohjiyamamoto', '#y3', '#fw19']	revisit arch fal '19 collect
1091199701611937792	2019-02-01	['#hedislim', '#celin', '#fw19']	play smart fal '19 men's show
1091169484554076161	2019-02-01	['#rocha', '#fw19']	hom embrac effortless eleg fal '19 collect
1091139309502111744	2019-02-01	['#dior', '#fw19']	men think cout fal '19 collect @dior
1091109156193476608	2019-01-31	['#triplerr', '#fw19']	pres 'royal rebellion' fal '19 collect @iblamejordan
1091048640368570368	2019-01-31	['#milesmcmil', '#giorgioarman', '#barney', '#ss19']	fin lin don @barneysny @armani
1091033557722648577	2019-01-31	['#chrishemsworth']	cov men's heal talk body &amp; ag @chrishemsworth
1091018489643569152	2019-01-31	['#adriangreny']	hit beach al discuss sustain @adriangrenier
1091003323296174081	2019-01-31	['#riverviiper', '#jessicagoicoeche', '#refresh', '#ss19']	&amp; girlfriend front sho spring '19 campaign @riverviiperi
1090988226100318208	2019-01-31	['#davidtrulik']	&amp; zhang wenhu tackl bold col gq jap
1090973136319905793	2019-01-31	['#goncaloteixeir', '#carmel', '#ss19']	travel marrakech sho spring '19 campaign
1090958074641350656	2019-01-31	['#jarrodscot', '#patrickbatem']	channel gq austral
1090927823232094208	2019-01-31	['#alessiopozz']	tak ven styl attitud
1090925177419063296	2019-01-31	[]	ad video @youtube playl gon teixeir &amp; isabel fontan carmel sho spring 2019
1090911088131084288	2019-01-31	[]	ad video @youtube playl riv viiper &amp; jessic goicoeche refresh sho spring 2019
1090897599689908224	2019-01-31	['#salomondiaz']	rock new h&amp;m denim styl @hm
1090867401833570306	2019-01-31	['#tonheukel', '#80s']	model styl glass men
1090837219215065088	2019-01-31	['#burberry', '#ss19']	receiv tisc makeov spring '19 campaign @burberry
1090807020352139265	2019-01-31	['#martingarrix', '#liyifeng', '#armaniexchang', '#ss19']	&amp; embrac sporty styl spring '19 campaign
1090776829051449344	2019-01-31	['#jonasglo', '#presleygerb', '#hugo', '#ss19']	embrac berlin stat mind spring '19 campaign @hugoboss
1090746646835679241	2019-01-30	['#sergerigvav', '#clubmonaco']	start don smart new styl @clubmonaco
1090686273197608968	2019-01-30	[]	fashionisto exclud alex fabrega 'back new'
1090656221286334464	2019-01-30	['#am', '#fw19']	champ bourgeo styl fal '19 collect @amiparis
1090641052430671872	2019-01-30	['#driesvannot', '#fw19', '#pfw']	channel styl icon fal '19 collect
1090625882656526337	2019-01-30	['#conradbromfield', '#arthurkulkov', '#macy', '#ss19']	sport pastel spring styl @macys
1090610740489342981	2019-01-30	['#lennykravitz', '#tum']	join daught zo a3 collect campaign @tumitravel @lennykravitz
1090595645075963904	2019-01-30	['#benbow', '#xti', '#ss19']	red touch front spring '19 campaign
1090565417431691264	2019-01-30	[]	maikl mihelson ste mir tim vog kore
1090535226881859584	2019-01-30	['#versac', '#ss19']	del fun fash &amp; bold attitud spring '19 campaign @versace
1090516200914894848	2019-01-30	[]	ad video @youtube playl lenny &amp; zo kravitz tum a3 collect campaign
1090505022331408384	2019-01-30	['#apropo', '#ss19']	market edoardo sebastianell don spring look journ
1090474802043867136	2019-01-30	['#jonkortajaren']	rock denim gq esp cov story @jonkortajarena
