id	created_at	hashtags	cleaned_text
1093369402651754496	2019-02-07	['#fw19', '#nyfw', '#nowfash']	@tomford show see
1093030133554954241	2019-02-06	['#fw19', '#nyfw', '#nowfash']	@landlordnewyork menswear show see
1092753995863674880	2019-02-05	['#fw19', '#nyfw', '#nowfash']	kawakey pres see
1092750107936804864	2019-02-05	['#fw19', '#nyfw', '#nowfash']	@toddsnyderny menswear show see
1092498358479003648	2019-02-04	['#fw19', '#nyfw', '#nowfash']	@palomospain menswear fin see
1092490190126567425	2019-02-04	['#fw19', '#nyfw', '#nowfash']	@palomospain menswear liv see
1092456560733900802	2019-02-04	['#nowfash']	tav strachan goal cre gen mak think read
1090951465051537408	2019-01-31	['#nowfash']	today 7 cet liv streaming instagram @orousteing @balmain cre direct @loicprigent talk
1089901014948462592	2019-01-28	['#nowfash']	altarom rome's haut cout aspir read
1088392342724317184	2019-01-24	['#ss19', '#pfw', '#nowfash']	aganovich cout show finsh see
1088386716019421184	2019-01-24	['#ss19', '#pfw', '#nowfash']	aganovich cout show liv see
1088177025683279873	2019-01-23	['#ss19', '#pfw', '#nowfash']	@balmain show fin see
1088165814325444608	2019-01-23	['#ss19', '#pfw', '#nowfash']	@balmain show liv see
1088157618802253824	2019-01-23	['#ss19', '#pfw', '#nowfash']	paul canova del vas show see
1088156434607554560	2019-01-23	['#ss19', '#pfw', '#nowfash']	@guopeiofficial show fin see
1088147448483270656	2019-01-23	['#ss19', '#pfw', '#nowfash']	@guopeiofficial show liv see
1088141952724463618	2019-01-23	['#ss19', '#pfw', '#nowfash']	@maisonvalentino show fin see
1088132755333042176	2019-01-23	['#ss19', '#pfw', '#nowfash']	@maisonvalentino show liv see
1088132473442238465	2019-01-23	['#ss19', '#pfw', '#nowfash']	ar chaumeil show fin see
1088129156569882624	2019-01-23	['#ss19', '#pfw', '#nowfash']	ar chaumeil show liv see
1088127436347400194	2019-01-23	['#ss19', '#pfw', '#nowfash']	@zmuradofficial show fin see
1088111599167115265	2019-01-23	['#ss19', '#pfw', '#nowfash']	@zmuradofficial show liv see
1088106986317729797	2019-01-23	['#ss19', '#pfw', '#nowfash']	@viktor_and_rolf show see
1088102247798587392	2019-01-23	['#ss19', '#pfw', '#nowfash']	@viktor_and_rolf show liv see
1088096548314062848	2019-01-23	['#ss19', '#pfw', '#nowfash']	adelin ziliox show fin see
1088095966660575232	2019-01-23	['#ss19', '#pfw', '#nowfash']	@jpgaultier show see
1088091741901729793	2019-01-23	['#ss19', '#pfw', '#nowfash']	adelin ziliox show liv see
1088084259531821056	2019-01-23	['#ss19', '#pfw', '#nowfash']	@yolancris show liv see
1088081193638211589	2019-01-23	['#ss19', '#pfw', '#nowfash']	@jpgaultier show liv see
1088072693700849672	2019-01-23	['#ss19', '#pfw', '#nowfash']	rvdk ronald van der kemp show fin see
1088061098266382338	2019-01-23	['#ss19', '#pfw', '#nowfash']	rvdk ronald van der kemp show liv see
1088050937913110528	2019-01-23	['#ss19', '#pfw', '#nowfash']	@eliesaabworld cout show fin see
1088045414312538117	2019-01-23	['#ss19', '#pfw', '#nowfash']	@franksorbier cout show see
1088043843088453633	2019-01-23	['#ss19', '#pfw', '#nowfash']	@eliesaabworld cout show liv liv &amp; liv streaming avail see
1088038472953282560	2019-01-23	['#ss19', '#pfw', '#nowfash']	@ziadnakadworld cout show end see
1088031849732075521	2019-01-23	['#ss19', '#pfw', '#nowfash']	@ziadnakadworld cout show liv liv &amp; liv streaming avail see
1088020014244990976	2019-01-23	['#ss19', '#pfw', '#nowfash']	@ziadnakadworld cout show liv soon liv &amp; liv streaming avail see
1087808145806815232	2019-01-22	['#ss19', '#pfw', '#nowfash']	@givenchy cout show fin liv &amp; liv streaming avail see
1087804999432892418	2019-01-22	['#ss19', '#pfw', '#nowfash']	@givenchy cout show liv liv &amp; liv streaming avail see
1087787641267986432	2019-01-22	['#ss19', '#pfw', '#nowfash']	giorgio arman priv cout show fin see
1087765684338282497	2019-01-22	['#ss19', '#pfw', '#nowfash']	giorgio arman priv cout show liv see
1087754713125318657	2019-01-22	['#ss19', '#pfw', '#nowfash']	@alexvauthier cout show see
1087748544847593472	2019-01-22	['#ss19', '#pfw', '#nowfash']	@julienfournie cout show see
1087747936216379393	2019-01-22	['#ss19', '#pfw', '#nowfash']	cel krithariot cout show see
1087747493394374659	2019-01-22	['#ss19', '#pfw', '#nowfash']	st rolland show see
1087744547411640322	2019-01-22	['#ss19', '#pfw', '#nowfash']	katrin cout show see
1087707860853755904	2019-01-22	['#ss19', '#pfw', '#nowfash']	alex mabil cout show see
1087706308835508229	2019-01-22	['#ss19', '#pfw', '#nowfash']	alex mabil cout show see
1087695275559391232	2019-01-22	['#ss19', '#pfw', '#nowfash']	allin le cout show see
1087653870250196993	2019-01-22	['#ss19', '#pfw', '#nowfash']	@chanel cout show fin see
1087645140662042624	2019-01-22	['#ss19', '#pfw', '#nowfash']	@chanel cout show liv see
1087455572625108999	2019-01-21	['#ss19', '#pfw', '#nowfash']	azzaro cout show fin see
1087442057466126337	2019-01-21	['#ss19', '#pfw', '#nowfash']	@giambattistapr cout show fin see
1087431969124831232	2019-01-21	['#ss19', '#pfw', '#nowfash']	@giambattistapr cout show liv see
1087431877089247233	2019-01-21	['#ss19', '#pfw', '#nowfash']	yum katsur cout show fin see
1087411737547194368	2019-01-21	['#ss19', '#pfw', '#nowfash']	yum katsur cout show liv see
1087409491472199682	2019-01-21	['#ss19', '#pfw', '#nowfash']	antonio grimald cout show fin see
1087404081596059648	2019-01-21	['#ss19', '#pfw', '#nowfash']	antonio grimald cout show liv see
1087404029657997312	2019-01-21	['#ss19', '#pfw', '#nowfash']	@georgeschakra cout show fin see
1087396323417047041	2019-01-21	['#ss19', '#pfw', '#nowfash']	@georgeschakra cout show liv see
1087396059163308032	2019-01-21	['#ss19', '#pfw', '#nowfash']	@ralphandrusso cout show see
1087392406285225986	2019-01-21	['#ss19', '#pfw', '#nowfash']	mar aristidou cout show see
1087367540970582016	2019-01-21	['#ss19', '#pfw', '#nowfash']	@dior cout show fin see
1087350260811337729	2019-01-21	['#ss19', '#pfw', '#nowfash']	@dior cout show liv liv &amp; liv streaming avail see
1087340297833664512	2019-01-21	['#ss19', '#pfw', '#nowfash']	@georgeshobeika cout show see
1087316965599911936	2019-01-21	['#ss19', '#pfw', '#nowfash']	ir van herp cout show end see
1087312615704010753	2019-01-21	['#ss19', '#pfw', '#nowfash']	ir van herp cout show liv see
1087309065041129472	2019-01-21	['#ss19', '#pfw', '#nowfash']	@tonywardcouture cout show fin see
1087307057479454720	2019-01-21	['#ss19', '#pfw', '#nowfash']	@ulianasergeenko cout show fin see
1087306497716092929	2019-01-21	['#ss19', '#pfw', '#nowfash']	@tonywardcouture cout show liv see
1087302959904497664	2019-01-21	['#ss19', '#pfw', '#nowfash']	@ulianasergeenko cout show liv see
1087291548469993473	2019-01-21	['#ss19', '#pfw', '#nowfash']	@schiaparelli cout show fin see
1087283853293748224	2019-01-21	['#ss19', '#pfw', '#nowfash']	@schiaparelli cout show liv see
1087080606960373766	2019-01-20	['#fw19', '#pfw', '#nowfash']	celin menswear show fin see
1087075567948779520	2019-01-20	['#fw19', '#pfw', '#nowfash']	celin menswear show liv see
1087064105465327616	2019-01-20	['#fw19', '#pfw', '#nowfash']	1017 alyx menswear show fin see
1087055590948564993	2019-01-20	['#fw19', '#pfw', '#nowfash']	1017 alyx 9sm menswear show liv see
1087051931007242240	2019-01-20	['#fw19', '#pfw', '#nowfash']	dunhil menswear show see
1087030839354028033	2019-01-20	['#fw19', '#pfw', '#nowfash']	gmbh menswear show see
1087015197603180544	2019-01-20	['#fw19', '#pfw', '#nowfash']	@paulsmithdesign menswear show fin see
1087010773971451904	2019-01-20	['#fw19', '#pfw', '#nowfash']	@paulsmithdesign menswear show liv see
1087000257576255488	2019-01-20	['#fw19', '#pfw', '#nowfash']	@acnestudios menswear show fin see
1086997134501703681	2019-01-20	['#fw19', '#pfw', '#nowfash']	menswear womenswear show fin see
1086995352484564998	2019-01-20	['#fw19', '#pfw', '#nowfash']	@acnestudios menswear show liv see
1086992252843556864	2019-01-20	['#fw19', '#pfw', '#nowfash']	menswear womenswear show liv see
1086987345595912192	2019-01-20	['#fw19', '#pfw', '#nowfash']	rynshu menswear show see on
1086975356991606790	2019-01-20	['#fw19', '#pfw', '#nowfash']	@kenzo menswear show end see
1086966175257513984	2019-01-20	['#fw19', '#pfw', '#nowfash']	@kenzo menswear show liv see
1086962709864812544	2019-01-20	['#fw19', '#pfw', '#nowfash']	@christiandada menswear show see
1086962410618003456	2019-01-20	['#fw19', '#pfw', '#nowfash']	@jacquemus menswear show see
1086932473357967360	2019-01-20	['#fw19', '#pfw', '#nowfash']	@officineg menswear show see
1086735488713719809	2019-01-19	['#fw19', '#pfw', '#nowfash']	misbhv menswear show see
1086729012108500993	2019-01-19	['#fw19', '#pfw', '#nowfash']	self mad menswear show fin see
1086725982411735040	2019-01-19	['#fw19', '#pfw', '#nowfash']	self mad menswear show liv see
1086712006282014721	2019-01-19	['#fw19', '#pfw', '#nowfash']	@hermes_paris menswear show fin see
1086706949717135360	2019-01-19	['#fw19', '#pfw', '#nowfash']	@hermes_paris menswear show liv see
1086689844540133377	2019-01-19	['#fw19', '#pfw', '#nowfash']	@wmountaineering menswear show fin see
1086684456147144709	2019-01-19	['#fw19', '#pfw', '#nowfash']	@wmountaineering show liv see
1086674845482536962	2019-01-19	['#fw19', '#pfw', '#nowfash']	@vibskovboutique menswear show fin see
1086671483194261504	2019-01-19	['#fw19', '#pfw', '#nowfash']	@vibskovboutique menswear show liv see
