id	created_at	hashtags	cleaned_text
1008730620527341569	2018-06-18	[]	charlot olymp sum 2018 sampl sal tomorrow mus room 26 sou molton lan mayfair london w1k 5lf tue 19th pm 7 pm &amp; wed 20th jun 7 pm nev seen styl sho handb 75% retail pric
1007578522783711233	2018-06-15	['#samples', '#charlotteolymp', '#themusicroom']	charlot olymp sum 2018 sampl sal larg select sho handb 75% retail pric mus room tue 19th jun 2pm &amp; wed 20th jun 8am
1006815897821110273	2018-06-13	['#yescharlotteolymp']	@thomascharity21 thank shar im would lov shar onlin pleas reply agr
1003915888897163265	2018-06-05	['#yescharlotteolymp']	@bsociale1 thank shar im would lov shar onlin pleas reply agr
999935319230304256	2018-05-25	['#yescharlotteolymp']	@canthonyassoc thank shar im would lov shar onlin pleas reply agr
998495462616334336	2018-05-21	['#yescharlotteolymp']	@_21cgirls thank shar im would lov shar onlin pleas reply agr
997056821809606657	2018-05-17	['#yescharlotteolymp']	@fznquiz thank shar im would lov shar onlin pleas reply agr
993862982630346752	2018-05-08	[]	int sevil discov new int sevil sneak tak inspir icon palom
992048746627305472	2018-05-03	['#ss18', '#charlotteolymp', '#poolsid']	poolsid perfect lul shop
991323840641929216	2018-05-01	['#ss18', '#charlotteolymp']	any shop
990980949121921026	2018-04-30	['#ss18', '#sho', '#charlotteolymp']	mil doll mermaid shop
987001202826186753	2018-04-19	['#charlotteolymp', '#ss18']	new lol 60
984387247603580929	2018-04-12	['#charlotteolymp', '#globetrot']	glob trot discov sho cas
983732470163046400	2018-04-10	['#charlotteolymp', '#ss18']	discov ariel spring sum 18 shop
966709901492973569	2018-02-22	['#purrrfect10']	'croissant' bag mak comeback annivers collect miss
966284381492039680	2018-02-21	['#purrrfect10']	'flash back' 'pink scent' two best sel bag past decad mak limit comeback
965974250728325120	2018-02-20	[]	celebr 10th annivers charlot olymp purrrfect10 collect icon design past decad includ 'mini bar' clutch
965540733796089863	2018-02-19	['#bafta']	actress jen lawr wear joyc platform ee brit academy film award yesterday ev london
964107140700008448	2018-02-15	['#purrrfect10']	celebr 10 year charlot olymp purrrfect bag avail annivers collect
963741010567290880	2018-02-14	['#valentinesday']	found 'sole mate' lat send charlot olymp @paperlesspost onlin card
963389918985801731	2018-02-13	[]	join charlot olymp bridelux wed show london 9th &amp; 10th march view wed collect
963083660613312512	2018-02-12	['#purrrfect10']	sent valentine's day card yet expl new charlot olymp @paperlesspost design
962981490094149632	2018-02-12	[]	@charlottes_web's 10th annivers sho collect feat 10 mem sho bag
962665084651794432	2018-02-11	['#purrrfect10']	first releas ss12 collect 'atlantis' sand back limit tim annivers collect
962302657347153920	2018-02-10	['#purrrfect10']	miss limit edit annivers collect feat favourit sho past decad
961931359483826176	2018-02-09	[]	less week go valentine's day shop red hot heel edit
961571494592700416	2018-02-08	[]	expl 10th annivers collect favourit sho past decad mak comeback
961232363790446592	2018-02-07	['#purrrfect10']	mak comeback 10th annivers collect 'birds paradise' sand
960901021030592513	2018-02-06	['#purrrfect10']	two new charlot olymp @paperlesspost design tim valentine's day
960564570652905473	2018-02-05	['#purrrfect10']	valentine's day send 'sole mate' spec lov not introduc two new @paperlesspost design celebr 10th annivers
960135958028017664	2018-02-04	['#purrrfect10']	celebr 10 year charlot olymp annivers collect includ comeback 'eve'
959758481493561344	2018-02-03	['#purrrfect10']	catch els first releas spring '14 collect lobst sand back limit collect
959403619836719106	2018-02-02	['#purrrfect10']	chos annivers collect feat 'atlantis' spring sum 2012
959020993539960832	2018-02-01	['#purrrfect10']	mak comeback annivers collect 'i scream' pump cru 14 expl ful rang
958694256557871104	2018-01-31	['#purrrfect10']	limit 10th annivers collect introduc shop collect vot
958403970195738624	2018-01-30	['#purrrfect10']	vot favourit fiv icon sho past decad mak comeback annivers collect
957965314075095040	2018-01-29	[]	look exot touch 'work flamingo' sneak
957229256878247937	2018-01-27	[]	what's new pussyc mid kitty d'orsay cru 18 styl
956905034582720512	2018-01-26	[]	denim versatil wardrob ess choos light dark denim 'cool cats' purrrfect laid lux styl
956151396331610115	2018-01-24	[]	'kitten heels' join ent collect alongsid class 'bogart' bag 'vanity' clutch
955788426443444225	2018-01-23	[]	velvet work train guarantee step athl gam
955441407803699200	2018-01-22	[]	'gail' sculpt mul stat braid wedg heel blush black new cru 18 shop
955054905370316800	2018-01-21	[]	laid denim styl 'kitty pool sliders' feat icon kitty detail gold pip
954707650301833216	2018-01-20	[]	fluff heel 'provocateur' perfect flirty footwear
954350239514849281	2018-01-19	[]	slip 'bianca' silv slid knot detail
954005912074817538	2018-01-18	[]	miss charlot olymp sal enjoy 50% select styl
953673788255809538	2018-01-17	[]	set world fir cru 18 'flaming slides' slip red snakeskin effect leath flam cut detail
953583554407161861	2018-01-17	[]	somewh charlot olymp rainbow 'rainbow kitty flats'
953582938754514944	2018-01-17	[]	@ashleyuzer hi ashley karl otto handl pr also email
952879901232779264	2018-01-15	['#bluemonday']	sho mak depress day year bet fact
952518209625903110	2018-01-14	[]	work styl 'work anim kingdom' 'amour' train cru 18 collect
952155532802043904	2018-01-13	[]	dress feet new ent styl cru 18 collect
951793503348117504	2018-01-12	[]	enjoy 50% select styl charlot olymp sal
