screen_name	id	data
voguemagazine	136361303	0.00284321878623
wwd	19784831	0.00257056920472
ELLEmagazine	20177423	0.00248864398658
BritishVogue	27844479	0.00246068709566
Fashionista_com	15933910	0.00244092508977
InStyle	14934818	0.00241050785517
VogueRunway	21401466	0.00239195069432
wmag	14791162	0.00233920413156
WhoWhatWear	19212009	0.00233778736025
Refinery29	19546942	0.00232556843343
TheCut	19923638	0.00230642770196
harpersbazaarus	32469566	0.0022906036074
TimesFashion	20506424	0.00228972944959
marieclaire	19074134	0.00223913244517
BoF	18392906	0.00223258997559
NETAPORTER	19390810	0.00215552872806
VanityFair	15279429	0.00208958925239
NYTFashion	16929349	0.00207610964914
ELLEUK	15632759	0.00204906184763
RachelZoe	30704824	0.00204401059149
LondonFashionWk	50627903	0.00198701050268
NYTStyles	1879831	0.00197748292519
victoriabeckham	185314895	0.00195594105868
glamourmag	19247844	0.00195033570078
NylonMag	14222518	0.00193239492339
Topshop	20908109	0.00189342426687
Burberry	47459700	0.00189117900838
YSL	60054156	0.0018461793566
glamour_fashion	19148708	0.0018321274453
CHANEL	326359913	0.00182193814771
ASOS	15790423	0.00181192935438
i_D	20225875	0.00179004809884
marcjacobs	109702885	0.00178188597001
vmagazine	25326324	0.00178127813928
KimKardashian	25365536	0.00172623918724
GraziaUK	17133807	0.00171346324609
susiebubble	16935734	0.00170676191576
StellaMcCartney	40851965	0.00169834914559
StylistMagazine	54203238	0.00169080293133
tmagazine	14575107	0.0016829964151
ladygaga	14230524	0.00166079408149
MichaelKors	153474021	0.00165978422924
BazaarUK	18334825	0.0016597361065
VogueParis	16096416	0.00165484171435
hm	14399483	0.00164217040095
THELOVEMAGAZINE	41469938	0.00163771242835
Dior	348379865	0.00163279777192
CFDA	58462957	0.0016312819802
HilaryAlexander	19660870	0.00162073845564
ManRepeller	141598384	0.00161240474421
rihanna	79293791	0.00160254331319
LouboutinWorld	69615397	0.00160176950824
DVF	13018112	0.00158622382661
Fashion_Monitor	21136909	0.00158577180341
LuckyMagazine	15934926	0.00158017013354
OscardelaRenta	44415931	0.0015786709734
BarneysNY	21208444	0.00157335140237
McQueen	221392767	0.00156783325052
LouisVuitton	44084633	0.00156362786073
FashionWeek	72950235	0.00156002112863
Sephora	46186400	0.00154903011039
Bergdorfs	98942778	0.00153505237967
Nordstrom	15162193	0.00151996662348
dolcegabbana	85772748	0.00151797237909
GlamourMagUK	34258758	0.00150837668129
Versace	72568426	0.00149651707019
TheSTStyle	148810980	0.00148553871381
StyleCaster	55678606	0.00148171095935
ninagarcia	158128894	0.00147881186455
bryanboy	7092102	0.00147671393533
dkny	28635233	0.00146804131148
Allure_magazine	40965341	0.00143753903159
mrjoezee	43952326	0.00141988023453
Coveteur	228379737	0.00140603177399
marieclaireuk	15735744	0.00140280963619
POPSUGARFashion	17548474	0.00139872328248
AOLLifestyle	25626894	0.0013928284517
CalvinKlein	18647765	0.00139127863559
taylorswift13	17919972	0.00137963051956
cocorocha	59624844	0.0013768112663
IntoTheGloss	183016276	0.00137174874591
MACcosmetics	15225275	0.00136712750772
MaisonValentino	73359920	0.00135212020021
jimmychoo	68399194	0.00134767275917
AlexanderWangNY	250911289	0.00133925275415
peoplestyle	26774034	0.0013385829702
Selfridges	19967728	0.00133673322078
saks	65104337	0.00133662724182
AnOtherMagazine	64418855	0.00132927891812
CathyHoryn	105189289	0.00132694280485
GQStyle	102446093	0.00132101744764
katespadeny	39601084	0.00130399824202
AP_Fashion	71352734	0.00130227454865
instyle_UK	16361000	0.00129905588818
evachen212	92577188	0.0012948142766
UrbanOutfitters	15515919	0.00128164423587
BFC	207477965	0.0012785184875
gucci	16913418	0.00127289407959
garancedore	16945578	0.0012725257303
VictoriasSecret	16193578	0.00127097508208
DerekBlasberg	29123186	0.00127016079956
InterviewMag	23605284	0.00126889335729
NYMag	45564482	0.00126021908865
TeleFashion	162069651	0.00125952715526
Etsy	11522502	0.00125771418373
neimanmarcus	204491797	0.00125665267754
LibertyLndnGirl	20685935	0.00125230082849
JacquelineRLine	69755180	0.00124476982117
FashionweekNYC	35459922	0.00123495632011
LouisVuitton_US	24047612	0.00123260999328
Harrods	95229500	0.00122496848561
proenzaschouler	183734502	0.00122378177234
KendallJenner	157140968	0.00122163964991
giorgioarmani	78021221	0.00121888103862
toryburch	19028615	0.00121770712593
NARSCosmetics	25140894	0.00121689444954
LibertyLondon	16528461	0.00120667041796
shopbop	18307364	0.0012014232403
TwitterFashion	178111058	0.00120095667188
themarcjacobs	225190303	0.00120087029348
jcrew	26250338	0.00119675969139
LaurenConrad	34097876	0.00119374586484
OliviaPalermo	123639602	0.00118993097167
DailyFrontRow	22024974	0.00118726771868
LDNfashion	19287786	0.00118365873739
rag_bone	142690048	0.00117994032395
kourtneykardash	23617610	0.0011791286901
HarveyNichols	23760251	0.00116766779547
britneyspears	16409683	0.00116161830377
BobbiBrown	43121121	0.00115560422749
GQMagazine	21701757	0.00115376177944
tyrabanks	53153263	0.00115049274911
Bloomingdales	41338503	0.00114139259314
BenefitBeauty	18220767	0.00113719996372
RebeccaMinkoff	16271952	0.0011311028263
KarlLagerfeld	465723566	0.00113058255683
polyvore	14627153	0.00113046462471
wallpapermag	8223872	0.0011279586247
MarchesaFashion	80371182	0.00112262154087
TiffanyAndCo	90774609	0.0011142708228
vogue_italia	126614785	0.00110633208297
Zac_Posen	173988421	0.00109950348646
_IFB	130281555	0.00109815023803
VeraWangGang	40080940	0.00109784351189
MATCHESFASHION	21655428	0.00109653850371
FashionCanada	18138157	0.00109341535604
UrbanDecay	18912121	0.00109080956995
BALENCIAGA	180124279	0.0010887238456
Roberto_Cavalli	49239873	0.00108758003536
byEmily	21442110	0.00108080695422
thepop	35239899	0.00107770038522
LANVINofficial	369514419	0.00107186519331
fashionfoiegras	54786833	0.00107147068214
RalphLauren	34395888	0.00106903256509
openingceremony	29247964	0.00106524332346
Forever21	28384755	0.00106391366883
Anthropologie	40016838	0.00106343226132
chictopia	14508983	0.00106257603836
StellaMagazine	94097845	0.00105638749231
annadellorusso	127635597	0.00104898799501
SHOWstudio	15307166	0.00103922470321
